antecedente	consequente	numero de pares
GO:0005623	GO:0005813	4737
GO:0005829	GO:0005623	4737
GO:0005623	GO:0005829	4737
GO:0005623	GO:0005886	4737
GO:0005886	GO:0005623	4737
GO:0005623	GO:0005925	4737
GO:0005925	GO:0005623	4737
GO:0005623	GO:0009986	4737
GO:0009986	GO:0005623	4737
GO:0016020	GO:0005623	4737
GO:0005623	GO:0016020	4737
GO:0016021	GO:0005623	4737
GO:0005623	GO:0016021	4737
GO:0005623	GO:0030425	4738
GO:0030425	GO:0005623	4740
GO:0005623	GO:0032991	4740
GO:0032991	GO:0005623	4740
GO:0043025	GO:0005623	4740
GO:0005623	GO:0043025	4740
GO:0005623	GO:0048471	4740
GO:0048471	GO:0005623	4740
GO:0070062	GO:0005623	4740
GO:0005623	GO:0070062	4740
GO:0005634	GO:0005635	4740
GO:0005635	GO:0005634	4740
GO:0005654	GO:0005634	4740
GO:0005634	GO:0005654	4740
GO:0005667	GO:0005634	4740
GO:0005634	GO:0005667	4740
GO:0005681	GO:0005634	4740
GO:0005634	GO:0005681	4740
GO:0005694	GO:0005634	4740
GO:0005634	GO:0005694	4740
GO:0005730	GO:0005634	4740
GO:0005634	GO:0005730	4740
GO:0005737	GO:0005634	4740
GO:0005634	GO:0005737	4740
GO:0005739	GO:0005634	4740
GO:0005634	GO:0005739	4740
GO:0005759	GO:0005634	4740
GO:0005634	GO:0005759	4740
GO:0005634	GO:0005765	4740
GO:0005765	GO:0005634	4740
GO:0005634	GO:0005768	4748
GO:0005768	GO:0005634	4750
GO:0005769	GO:0005634	4750
GO:0005634	GO:0005769	4750
GO:0005783	GO:0005634	4750
GO:0005634	GO:0005783	4750
GO:0005789	GO:0005634	4750
GO:0005634	GO:0005789	4750
GO:0005794	GO:0005634	4750
GO:0005634	GO:0005794	4750
GO:0005813	GO:0005634	4750
GO:0005634	GO:0005813	4750
GO:0005819	GO:0005634	4750
GO:0005634	GO:0005819	4750
GO:0005829	GO:0005634	4750
GO:0005634	GO:0005829	4750
GO:0005856	GO:0005634	4751
GO:0005634	GO:0005856	4756
GO:0005634	GO:0005874	4763
GO:0005874	GO:0005634	4765
GO:0005634	GO:0005886	4765
GO:0005886	GO:0005634	4765
GO:0005634	GO:0005887	4765
GO:0005887	GO:0005634	4765
GO:0005911	GO:0005634	4765
GO:0005634	GO:0005911	4765
GO:0005912	GO:0005634	4766
GO:0005634	GO:0005912	4769
GO:0005634	GO:0005925	4769
GO:0005925	GO:0005634	4769
GO:0005634	GO:0009986	4769
GO:0009986	GO:0005634	4769
GO:0005634	GO:0010008	4772
GO:0010008	GO:0005634	4773
GO:0005634	GO:0014069	4773
GO:0014069	GO:0005634	4773
GO:0015629	GO:0005634	4776
GO:0005634	GO:0015629	4776
GO:0015630	GO:0005634	4776
GO:0005634	GO:0015630	4776
GO:0016020	GO:0005634	4776
GO:0005634	GO:0016020	4776
GO:0016021	GO:0005634	4776
GO:0005634	GO:0016021	4776
GO:0016323	GO:0005634	4776
GO:0005634	GO:0016323	4776
GO:0016324	GO:0005634	4776
GO:0005634	GO:0016324	4776
GO:0016363	GO:0005634	4776
GO:0005634	GO:0016363	4776
GO:0016604	GO:0005634	4776
GO:0005634	GO:0016604	4776
GO:0016605	GO:0005634	4776
GO:0005634	GO:0016605	4776
GO:0016607	GO:0005634	4787
GO:0005634	GO:0016607	4791
GO:0022625	GO:0005634	4791
GO:0005634	GO:0022625	4791
GO:0005634	GO:0030018	4793
GO:0030018	GO:0005634	4803
GO:0030027	GO:0005634	4803
GO:0005634	GO:0030027	4803
GO:0030054	GO:0005634	4804
GO:0005634	GO:0030054	4805
GO:0030424	GO:0005634	4805
GO:0005634	GO:0030424	4805
GO:0005634	GO:0030425	4805
GO:0030425	GO:0005634	4805
GO:0030496	GO:0005634	4805
GO:0005634	GO:0030496	4805
GO:0031410	GO:0005634	4805
GO:0005634	GO:0031410	4805
GO:0031965	GO:0005634	4805
GO:0005634	GO:0031965	4805
GO:0005634	GO:0031982	4805
GO:0031982	GO:0005634	4805
GO:0032991	GO:0005634	4805
GO:0005634	GO:0032991	4805
GO:0034774	GO:0005634	4805
GO:0005634	GO:0034774	4805
GO:0005634	GO:0036464	4805
GO:0036464	GO:0005634	4805
GO:0042470	GO:0005634	4805
GO:0005634	GO:0042470	4805
GO:0043005	GO:0005634	4805
GO:0005634	GO:0043005	4805
GO:0043025	GO:0005634	4805
GO:0005634	GO:0043025	4805
GO:0043197	GO:0005634	4805
GO:0005634	GO:0043197	4805
GO:0043231	GO:0005634	4805
GO:0005634	GO:0043231	4805
GO:0043235	GO:0005634	4805
GO:0005634	GO:0043235	4805
GO:0045121	GO:0005634	4805
GO:0005634	GO:0045121	4805
GO:0045202	GO:0005634	4805
GO:0005634	GO:0045202	4805
GO:0005634	GO:0048471	4805
GO:0048471	GO:0005634	4805
GO:0070062	GO:0005634	4805
GO:0005634	GO:0070062	4805
GO:0071013	GO:0005634	4805
GO:0005634	GO:0071013	4805
GO:0005634	GO:0098978	4805
GO:0098978	GO:0005634	4805
GO:1904813	GO:0005634	4805
GO:0005634	GO:1904813	4805
GO:1990904	GO:0005634	4807
GO:0005634	GO:1990904	4812
GO:0005654	GO:0005635	4812
GO:0005635	GO:0005654	4812
GO:0005737	GO:0005635	4812
GO:0005635	GO:0005737	4812
GO:0005829	GO:0005635	4812
GO:0005635	GO:0005829	4812
GO:0005667	GO:0005654	4812
GO:0005654	GO:0005667	4812
GO:0005681	GO:0005654	4812
GO:0005654	GO:0005681	4812
GO:0005654	GO:0005730	4812
GO:0005730	GO:0005654	4812
GO:0005737	GO:0005654	4812
GO:0005654	GO:0005737	4812
GO:0005739	GO:0005654	4812
GO:0005654	GO:0005739	4812
GO:0005654	GO:0005768	4812
GO:0005768	GO:0005654	4812
GO:0005769	GO:0005654	4812
GO:0005654	GO:0005769	4812
GO:0005654	GO:0005783	4812
GO:0005783	GO:0005654	4812
GO:0005789	GO:0005654	4812
GO:0005654	GO:0005789	4812
GO:0005794	GO:0005654	4812
GO:0005654	GO:0005794	4812
GO:0005813	GO:0005654	4812
GO:0005654	GO:0005813	4812
GO:0005829	GO:0005654	4812
GO:0005654	GO:0005829	4812
GO:0005654	GO:0005856	4812
GO:0005856	GO:0005654	4812
GO:0005654	GO:0005874	4812
GO:0005874	GO:0005654	4812
GO:0005654	GO:0005886	4812
GO:0005886	GO:0005654	4812
GO:0005654	GO:0005887	4812
GO:0005887	GO:0005654	4812
GO:0005911	GO:0005654	4812
GO:0005654	GO:0005911	4812
GO:0005654	GO:0005925	4812
GO:0005925	GO:0005654	4812
GO:0005654	GO:0009986	4812
GO:0009986	GO:0005654	4812
GO:0005654	GO:0014069	4812
GO:0014069	GO:0005654	4812
GO:0016020	GO:0005654	4812
GO:0005654	GO:0016020	4812
GO:0005654	GO:0016021	4812
GO:0016021	GO:0005654	4812
GO:0016363	GO:0005654	4812
GO:0005654	GO:0016363	4812
GO:0005654	GO:0016604	4812
GO:0016604	GO:0005654	4812
GO:0016605	GO:0005654	4812
GO:0005654	GO:0016605	4812
GO:0016607	GO:0005654	4812
GO:0005654	GO:0016607	4812
GO:0022627	GO:0005654	4812
GO:0005654	GO:0022627	4812
GO:0030054	GO:0005654	4812
GO:0005654	GO:0030054	4812
GO:0030424	GO:0005654	4812
GO:0005654	GO:0030424	4812
GO:0005654	GO:0030425	4812
GO:0030425	GO:0005654	4812
GO:0005654	GO:0031410	4812
GO:0031410	GO:0005654	4812
GO:0031965	GO:0005654	4812
GO:0005654	GO:0031965	4812
GO:0005654	GO:0032991	4812
GO:0032991	GO:0005654	4812
GO:0034774	GO:0005654	4812
GO:0005654	GO:0034774	4812
GO:0043005	GO:0005654	4812
GO:0005654	GO:0043005	4812
GO:0043025	GO:0005654	4812
GO:0005654	GO:0043025	4812
GO:0005654	GO:0043231	4812
GO:0043231	GO:0005654	4812
GO:0045121	GO:0005654	4812
GO:0005654	GO:0045121	4812
GO:0045202	GO:0005654	4812
GO:0005654	GO:0045202	4812
GO:0005654	GO:0048471	4812
GO:0048471	GO:0005654	4812
GO:0070062	GO:0005654	4812
GO:0005654	GO:0070062	4812
GO:0005654	GO:0071013	4812
GO:0071013	GO:0005654	4812
GO:0005654	GO:0098978	4812
GO:0098978	GO:0005654	4812
GO:0005654	GO:1904813	4812
GO:1904813	GO:0005654	4812
GO:1990904	GO:0005654	4812
GO:0005654	GO:1990904	4812
GO:0005667	GO:0005737	4812
GO:0005737	GO:0005667	4812
GO:0005829	GO:0005667	4812
GO:0005667	GO:0005829	4812
GO:0005667	GO:0032991	4812
GO:0032991	GO:0005667	4812
GO:0005737	GO:0005730	4812
GO:0005730	GO:0005737	4812
GO:0005739	GO:0005730	4812
GO:0005730	GO:0005739	4812
GO:0005730	GO:0005783	4812
GO:0005783	GO:0005730	4812
GO:0005829	GO:0005730	4812
GO:0005730	GO:0005829	4812
GO:0005730	GO:0005886	4812
GO:0005886	GO:0005730	4812
GO:0005730	GO:0005925	4812
GO:0005925	GO:0005730	4812
GO:0016020	GO:0005730	4812
GO:0005730	GO:0016020	4812
GO:0005730	GO:0016604	4812
GO:0016604	GO:0005730	4812
GO:0005730	GO:0032991	4812
GO:0032991	GO:0005730	4812
GO:0005730	GO:0048471	4812
GO:0048471	GO:0005730	4812
GO:0070062	GO:0005730	4812
GO:0005730	GO:0070062	4812
GO:1990904	GO:0005730	4812
GO:0005730	GO:1990904	4812
GO:0005739	GO:0005737	4812
GO:0005737	GO:0005739	4812
GO:0005759	GO:0005737	4812
GO:0005737	GO:0005759	4812
GO:0005737	GO:0005765	4812
GO:0005765	GO:0005737	4812
GO:0005737	GO:0005768	4812
GO:0005768	GO:0005737	4812
GO:0005737	GO:0005769	4812
GO:0005769	GO:0005737	4812
GO:0005737	GO:0005783	4812
GO:0005783	GO:0005737	4812
