SL-0476	GO:0031672	a band	a band|a disc|anisotropic disc|q disc|transverse disc
SL-0002	GO:0020022	acidocalcisome	acidocalcisome|metachromatic granule|polyphosphate vacuole|volutin granule
SL-0316	GO:0033985	acidocalcisome lumen	acidocalcisome lumen
SL-0003	GO:0033102	acidocalcisome membrane	acidocalcisome membrane
SL-0007	GO:0001669	acrosome	acrosomal vesicle|acrosomal granule|acrosome
SL-0008	GO:0030479	actin patch	actin cortical patch|actin patch
SL-0009	GO:0005912	adherens junction	adherens junction
SL-0010	GO:0032578	aleurone grain	aleurone grain membrane
SL-0317	GO:0034422	aleurone grain lumen	aleurone grain lumen
SL-0011	GO:0032578	aleurone grain membrane	aleurone grain membrane
SL-0012	GO:0009501	amyloplast	amyloplast
SL-0013	GO:0033098	amyloplast inner membrane	amyloplast inner membrane
SL-0014	GO:0033097	amyloplast membrane	amyloplast membrane
SL-0491	GO:0044222	anammoxosome	anammoxosome
SL-0016	GO:0032579	apical lamina	apical lamina of hyaline layer
SL-0018	GO:0020011	apicoplast	apicoplast
SL-0019	GO:0048046	apoplast	apoplast
SL-0306	GO:0097589	archaeal flagellum	archaeal-type flagellum|archaeal flagellum|archaella|archaellum
SL-0020	GO:0033099	attachment organelle	attachment organelle
SL-0021	GO:0033111	attachment organelle membrane	attachment organelle membrane
SL-0023	GO:0000421	autophagosome	autophagosome membrane|autophagic vacuole membrane
SL-0318	GO:0034423	autophagosome lumen	autophagosome lumen|autophagic vacuole lumen
SL-0022	GO:0000421	autophagosome membrane	autophagosome membrane|autophagic vacuole membrane
SL-0279	GO:0001683	axon	obsolete axonemal dynein heavy chain|axonemal dynein heavy chain
SL-0489	GO:0097691	bacterial extracellular vesicle	bacterial extracellular vesicle
SL-0025	GO:0005604	basement membrane	basement membrane|basal lamina|basement lamina|lamina densa
SL-0472	GO:0032059	bleb	bleb|plasma membrane bleb
SL-0027	GO:0000131	bud	incipient cellular bud site
SL-0028	GO:0033101	bud membrane	cellular bud membrane|cellular bud plasma membrane
SL-0029	GO:0000142	bud neck	cellular bud neck contractile ring|neck ring
SL-0030	GO:0005934	bud tip	cellular bud tip
SL-0031	GO:0015030	cajal body	cajal body|coiled body|gemini of coiled bodies|gems
SL-0032	GO:0030112	calyx	glycocalyx|cell capsule
SL-0033	GO:0030112	capsule	glycocalyx|cell capsule
SL-0034	GO:0031470	carboxysome	carboxysome
SL-0035	GO:0002095	caveola	caveolar macromolecular signaling complex|caveolar macromolecular signalling complex
SL-0138	GO:0005938	cell cortex	cell cortex|cell periphery|peripheral cytoplasm
SL-0036	GO:0030313	cell envelope	cell envelope
