HGNC ID	Approved symbol	Previous symbols	Alias symbols
HGNC:5	A1BG		
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF
HGNC:7	A2M		FWP007, S863-7, CPAMD5
HGNC:27057	A2M-AS1		
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170
HGNC:41022	A2ML1-AS1		
HGNC:41523	A2ML1-AS2		
HGNC:8	A2MP1	A2MP	
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S
HGNC:18149	A4GALT	P1	A14GALT, Gb3S, P(k)
HGNC:17968	A4GNT		alpha4GnT
HGNC:13666	AAAS		
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1
HGNC:18226	AACSP1	AACSL	
HGNC:17	AADAC		DAC, CES5A1
HGNC:24427	AADACL2		MGC72001
HGNC:50301	AADACL2-AS1		
HGNC:32037	AADACL3		OTTHUMG00000001887
HGNC:32038	AADACL4		OTTHUMG00000001889
HGNC:50305	AADACP1		
HGNC:17929	AADAT		KATII, KAT2, KYAT2
HGNC:25662	AAGAB		FLJ11506, p34
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067
HGNC:18	AAMP		
HGNC:19	AANAT		SNAT
HGNC:15886	AAR2	C20orf4	bA234K24.2
HGNC:33842	AARD	C8orf85	LOC441376
HGNC:20	AARS1	AARS	CMT2N, AlaRS
HGNC:49894	AARS1P1	AARSP1	
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1
HGNC:28417	AARSD1		MGC2744
HGNC:54994	AARSD1P1		
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS
HGNC:17366	AASS		LORSDH, LKRSDH
HGNC:51526	AATBC		
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
HGNC:22	AAVS1		AAV
HGNC:49667	ABALON		INXS
HGNC:23	ABAT		GABAT, GABA-T
HGNC:29	ABCA1	ABC1, HDLDT1	TGD
HGNC:32	ABCA2	ABC2	
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
HGNC:35	ABCA5		EST90625
HGNC:36	ABCA6		EST155051
HGNC:37	ABCA7		ABCX
HGNC:38	ABCA8		KIAA0822
HGNC:39	ABCA9		EST640918
HGNC:39983	ABCA9-AS1		
HGNC:30	ABCA10		EST698739
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2
HGNC:14638	ABCA13		FLJ33876, FLJ33951
HGNC:32972	ABCA17P		
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha
HGNC:47	ABCB6		EST45597, umat, MTABC3
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1, MITOSUR
HGNC:50	ABCB9		EST122234
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2
HGNC:31129	ABCB10P3		
HGNC:31130	ABCB10P4		
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
HGNC:51	ABCC1	MRP, MRP1	GS-X
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C
HGNC:40055	ABCC5-AS1		
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7
HGNC:33352	ABCC6P1		
HGNC:33353	ABCC6P2		
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
HGNC:60	ABCC9		SUR2, CMD1O
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7
HGNC:14639	ABCC11		MRP8
HGNC:14640	ABCC12		MRP9
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy
HGNC:62	ABCD1P1		
HGNC:63	ABCD1P2		bA453N3.6
HGNC:64	ABCD1P3		
HGNC:65	ABCD1P4		
HGNC:42662	ABCD1P5		
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1
HGNC:70	ABCF1	ABC50	EST123147
HGNC:53628	ABCF1-DT		
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18
HGNC:54751	ABCF2-H2BE1		
HGNC:48841	ABCF2P1		
HGNC:48842	ABCF2P2		
HGNC:72	ABCF3		EST201864
HGNC:73	ABCG1		ABC8
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338
HGNC:13884	ABCG4		WHITE2
HGNC:13886	ABCG5		STSL
HGNC:13887	ABCG8		GBD4
HGNC:17553	ABHD1		LABH1, FLJ36128
HGNC:18717	ABHD2		LABH2
HGNC:18718	ABHD3		LABH3
HGNC:20154	ABHD4		FLJ12816
HGNC:21396	ABHD5		CGI-58, NCIE2
HGNC:21398	ABHD6		
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512
HGNC:25656	ABHD10		FLJ11342
HGNC:16407	ABHD11	WBSCR21	PP1226
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
HGNC:19837	ABHD12B	C14orf29	BEM46L3
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1
HGNC:38856	ABHD14A-ACY1		
HGNC:28235	ABHD14B		MGC15429, CIB
HGNC:26971	ABHD15		
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13
