HGNC ID	Approved symbol	Previous symbols	Alias symbols
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P	
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P	
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P	
HGNC:34044	ABHD17AP6	FAM108A7P	
HGNC:38508	ABHD17AP7	FAM108A8P	
HGNC:38509	ABHD17AP8	FAM108A9P	
HGNC:38510	ABHD17AP9	FAM108A10P	
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67
HGNC:26925	ABHD17C	FAM108C1	
HGNC:26111	ABHD18	C4orf29	FLJ21106
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P	
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
HGNC:29859	ABI3		NESH, SSH3BP3
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH
HGNC:1364	ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate
HGNC:39851	ABITRAMP1	FAM206BP	
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150
HGNC:77	ABL2	ABLL	ARG
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin
HGNC:19195	ABLIM2		KIAA1808
HGNC:29132	ABLIM3		KIAA0843
HGNC:79	ABO		A3GALNT, A3GALT1
HGNC:81	ABR		MDB
HGNC:30655	ABRA		STARS
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1
HGNC:17369	ABT1		Esf2
HGNC:39557	ABT1P1		
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A
HGNC:82	ACAA1		
HGNC:83	ACAA2		DSAEC
HGNC:84	ACACA	ACAC, ACC	ACC1
HGNC:85	ACACB		HACC275, ACC2, ACCB
HGNC:87	ACAD8		
HGNC:21497	ACAD9		NPD002, MGC14452
HGNC:21597	ACAD10		MGC5601
HGNC:30211	ACAD11		FLJ12592
HGNC:88	ACADL		LCAD, ACAD4
HGNC:89	ACADM		MCAD, MCADH, ACAD1
HGNC:90	ACADS		SCAD, ACAD3
HGNC:91	ACADSB		SBCAD, ACAD7
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP
HGNC:16467	ACAP1	CENTB1	KIAA0050
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2
HGNC:41426	ACAP2-IT1		
HGNC:16754	ACAP3	CENTB5	KIAA1716
HGNC:93	ACAT1	ACAT	THIL
HGNC:94	ACAT2		
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7
HGNC:40701	ACBD3-AS1		RP11-275I14.4
HGNC:23337	ACBD4		FLJ13322
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996
HGNC:23339	ACBD6		MGC2404
HGNC:17715	ACBD7		FLJ38219, bA455B2.2
HGNC:23989	ACCS		PHACS, ACS
HGNC:34391	ACCSL		
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1
HGNC:2707	ACE	DCP1	ACE1, CD143
HGNC:13557	ACE2		
HGNC:44365	ACE3P		
HGNC:18356	ACER1	ASAH3	
HGNC:23675	ACER2	ASAH3L	FLJ41587, ALKCDase2
HGNC:54674	ACER2P1		
HGNC:16066	ACER3	PHCA	FLJ11238, APHC
HGNC:108	ACHE	YT	
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
HGNC:21142	ACKR4P1	CCRL1P, CCRL1P1	dJ509I19.4
HGNC:115	ACLY		ATPCL, CLATP, ACL
HGNC:19288	ACMSD		
HGNC:34504	ACNATP	BAATP1	
HGNC:117	ACO1	IREB1	IRP1, IREBP
HGNC:118	ACO2		ACONM
HGNC:33904	ACOD1	IRG1	CAD
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2
HGNC:18431	ACOT2		Mte1, ZAP128
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B
HGNC:33159	ACOT6	C14orf42	
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
HGNC:24436	ACOT12		Cach, THEAL, STARD15
HGNC:20999	ACOT13	THEM2	HT012
HGNC:119	ACOX1		PALMCOX
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox
HGNC:121	ACOX3		
HGNC:25621	ACOXL		FLJ11042
HGNC:41112	ACOXL-AS1		
HGNC:122	ACP1		HAAP, LMW-PTP, LMWPTP
HGNC:123	ACP2		LAP
HGNC:125	ACP3	ACPP	ACP-3, PAP, TM-PAP
HGNC:14376	ACP4	ACPT	
HGNC:124	ACP5		TRAP, HPAP
HGNC:29609	ACP6		LPAP, ACPL1
HGNC:33781	ACP7		FLJ16165, PAPL1, PAPL
HGNC:126	ACR		
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23
HGNC:54745	ACRP1		
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635
HGNC:26101	ACSF2		FLJ20920, ACSMW
HGNC:27288	ACSF3		
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194
HGNC:40227	ACSL3-AS1		
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4
HGNC:16526	ACSL5	FACL5	ACS5, ACS2
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2
HGNC:40772	ACSL6-AS1		
HGNC:18049	ACSM1	BUCS1	MACS1
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046
HGNC:10522	ACSM3	SAH	SA
HGNC:32016	ACSM4		
HGNC:26060	ACSM5		FLJ20581
HGNC:51295	ACSM5P1		
HGNC:31665	ACSM6	C10orf129	bA310E22.3
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
HGNC:24723	ACSS3		FLJ21963
HGNC:129	ACTA1	ACTA	NEM3
HGNC:130	ACTA2		ACTSA
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1, UC001kfo
HGNC:132	ACTB		
HGNC:17780	ACTBL2		DKFZp686D0972
HGNC:134	ACTBP1		
HGNC:135	ACTBP2		
HGNC:136	ACTBP3		
HGNC:137	ACTBP4		
HGNC:139	ACTBP6		
HGNC:140	ACTBP7		
HGNC:141	ACTBP8		ACTBP2
HGNC:142	ACTBP9		
HGNC:31819	ACTBP10		
HGNC:33971	ACTBP11		
HGNC:150	ACTBP12	ACTGP5	
HGNC:44626	ACTBP13		
HGNC:45086	ACTBP14		
HGNC:55065	ACTBP15		
HGNC:143	ACTC1	ACTC	CMD1R
HGNC:51491	ACTE1P		
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26	
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1	
HGNC:147	ACTG1P2	ACTL2, ACTGP2	
HGNC:148	ACTG1P3	ACTGP3	
HGNC:149	ACTG1P4	ACTGP4	
HGNC:151	ACTG1P6	ACTGP6	
HGNC:152	ACTG1P7	ACTGP7	
HGNC:153	ACTG1P8	ACTGP8	
HGNC:154	ACTG1P9	ACTGP9	
HGNC:155	ACTG1P10	ACTL1, ACTGP10	
HGNC:37651	ACTG1P11		
HGNC:44496	ACTG1P12		
HGNC:49058	ACTG1P13		
HGNC:49751	ACTG1P14		
HGNC:51495	ACTG1P15		
HGNC:51496	ACTG1P16		
HGNC:51497	ACTG1P17		
HGNC:51498	ACTG1P18		
HGNC:51499	ACTG1P19		
HGNC:51500	ACTG1P20		
HGNC:51501	ACTG1P21		
HGNC:51502	ACTG1P22		
HGNC:51503	ACTG1P23		
HGNC:49661	ACTG1P24	POTENP	
HGNC:54872	ACTG1P25		AGPG
HGNC:145	ACTG2	ACTL3, ACTA3	ACTSG
HGNC:24124	ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K
HGNC:160	ACTL6B	ACTL6	BAF53B
HGNC:161	ACTL7A		
HGNC:162	ACTL7B		Tact1
HGNC:24018	ACTL8		CT57
HGNC:28494	ACTL9		MGC33407
HGNC:16127	ACTL10	C20orf134	
HGNC:163	ACTN1		
HGNC:20131	ACTN1-AS1	C14orf84	
HGNC:164	ACTN2		
HGNC:165	ACTN3		
HGNC:166	ACTN4	FSGS1	
HGNC:44028	ACTN4P1		
HGNC:44032	ACTN4P2		
HGNC:51621	ACTP1		
HGNC:167	ACTR1A		ARP1, Arp1A
HGNC:54703	ACTR1AP1		
HGNC:168	ACTR1B	CTRN2	Arp1B
HGNC:169	ACTR2		ARP2
HGNC:170	ACTR3		ARP3
HGNC:53965	ACTR3-AS1		AC104653.1
HGNC:17256	ACTR3B		ARP11, ARP3beta
HGNC:37724	ACTR3BP1		
HGNC:38677	ACTR3BP2		FKSG73
HGNC:38678	ACTR3BP3		
HGNC:38681	ACTR3BP4		
HGNC:38682	ACTR3BP5		
HGNC:38683	ACTR3BP6		
HGNC:54971	ACTR3BP7		
HGNC:37282	ACTR3C		ARP11
HGNC:31820	ACTR3P1		
HGNC:38676	ACTR3P2		
HGNC:38679	ACTR3P3		
HGNC:14671	ACTR5		FLJ12785, Arp5, INO80M
HGNC:24025	ACTR6		ARP6, FLJ13433
HGNC:44210	ACTR6P1		
HGNC:14672	ACTR8		INO80N, ARP8
HGNC:17372	ACTR10		HARP11, ACTR11, Arp11, Arp10
HGNC:24027	ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1
HGNC:24026	ACTRT2		Arp-T2, ARPM2, FLJ25424
HGNC:24022	ACTRT3		ARPM1
HGNC:171	ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A
HGNC:172	ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB
HGNC:18123	ACVR1C		ALK7, ACVRLK7
HGNC:173	ACVR2A	ACVR2	ACTRII
HGNC:174	ACVR2B		ActR-IIB
HGNC:44161	ACVR2B-AS1		
HGNC:175	ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT
HGNC:177	ACY1		
HGNC:24104	ACY3		HCBP1, MGC9740, ACY-3
HGNC:179	ACYP1		
HGNC:180	ACYP2		
HGNC:186	ADA		
HGNC:1839	ADA2	IDGFL, CECR1	ADGF
HGNC:30713	ADAD1		Tenr
HGNC:44550	ADAD1P1		
HGNC:44552	ADAD1P2		
HGNC:30714	ADAD2		TENRL, FLJ00337
HGNC:31853	ADAL		
HGNC:187	ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
HGNC:44366	ADAM1B		
HGNC:198	ADAM2	FTNB	PH-30b, PH30, CT15
HGNC:209	ADAM3A	CYRN1	ADAM3, tMDCI
HGNC:210	ADAM3B	CYRN2	
HGNC:212	ADAM5	ADAM5P	tMDCII
HGNC:213	ADAM6	C14orf96	tMDCIV
HGNC:214	ADAM7		GP-83, EAPI
HGNC:215	ADAM8		CD156, MS2, CD156A
HGNC:216	ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng
HGNC:188	ADAM10		kuz, MADM, HsT18717, CD156C
HGNC:189	ADAM11	MDC	
HGNC:190	ADAM12		MCMPMltna, MLTN
HGNC:193	ADAM15		MDC15
HGNC:195	ADAM17	TACE	cSVP, CD156B
HGNC:196	ADAM18		tMDCIII, ADAM27
HGNC:197	ADAM19		MLTNB
HGNC:199	ADAM20		
HGNC:20102	ADAM20P1	C14orf55	
HGNC:43901	ADAM20P2		
HGNC:43902	ADAM20P3		
HGNC:200	ADAM21		ADAM31
HGNC:19822	ADAM21P1	ADAM21P	
HGNC:201	ADAM22		MDC2
HGNC:202	ADAM23		MDC3
HGNC:203	ADAM24P		
HGNC:206	ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23
HGNC:207	ADAM29		svph1, CT73
HGNC:208	ADAM30		svph4
HGNC:15479	ADAM32		
HGNC:15478	ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1
HGNC:16299	ADAMDEC1		M12.219
HGNC:217	ADAMTS1		C3-C5, METH1, KIAA1346
HGNC:218	ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
HGNC:219	ADAMTS3		KIAA0366, ADAMTS-4
HGNC:220	ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1
HGNC:221	ADAMTS5		ADMP-2, ADAMTS11
HGNC:222	ADAMTS6		ADAM-TS6
HGNC:223	ADAMTS7		ADAM-TS7, DKFZp434H204
HGNC:49407	ADAMTS7P1	ADAMTS7P2	
HGNC:49409	ADAMTS7P3		
HGNC:49410	ADAMTS7P4		
HGNC:224	ADAMTS8		METH2, FLJ41712, ADAM-TS8
HGNC:13202	ADAMTS9		KIAA1312
HGNC:40625	ADAMTS9-AS1		
HGNC:42435	ADAMTS9-AS2		
HGNC:13201	ADAMTS10		ADAM-TS10
HGNC:14605	ADAMTS12		
HGNC:1366	ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
HGNC:14899	ADAMTS14		
HGNC:16305	ADAMTS15		
HGNC:17108	ADAMTS16		ADAMTS16s
HGNC:17109	ADAMTS17		FLJ32769, FLJ16363
HGNC:17110	ADAMTS18	ADAMTS21	
HGNC:17111	ADAMTS19		
HGNC:40797	ADAMTS19-AS1		RP11-346A9.1
HGNC:17178	ADAMTS20		GON-1
HGNC:14632	ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283
HGNC:14631	ADAMTSL2		KIAA0605
HGNC:14633	ADAMTSL3		KIAA1233, punctin-2
HGNC:19706	ADAMTSL4	TSRC1	DKFZP434K1772
HGNC:32041	ADAMTSL4-AS1	C1orf138	FLJ45786
HGNC:40895	ADAMTSL4-AS2		
HGNC:27912	ADAMTSL5	THSD6	
HGNC:16486	ADAP1	CENTA1	GCS1L
HGNC:16487	ADAP2	CENTA2	
HGNC:225	ADAR	IFI4, G1P1	ADAR1
HGNC:226	ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
HGNC:227	ADARB2		RED2, hRED2, ADAR3
HGNC:23299	ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1
HGNC:228	ADAT1		
HGNC:21172	ADAT2	DEADC1	dJ20N2.1, TAD2
HGNC:25151	ADAT3		TAD3
HGNC:19038	ADCK1		FLJ39600
HGNC:19039	ADCK2		MGC20727
HGNC:21738	ADCK5		FLJ35454
HGNC:229	ADCP1		
HGNC:232	ADCY1	DFNB44	AC1
HGNC:233	ADCY2		HBAC2, KIAA1060, AC2
HGNC:234	ADCY3		AC3
HGNC:235	ADCY4		AC4
HGNC:236	ADCY5		AC5
HGNC:237	ADCY6		AC6
HGNC:53332	ADCY6-DT		
HGNC:238	ADCY7		KIAA0037, AC7
HGNC:239	ADCY8	ADCY3	HBAC1, AC8
HGNC:240	ADCY9		AC9
HGNC:21285	ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2
HGNC:44143	ADCY10P1		
HGNC:241	ADCYAP1		PACAP
HGNC:242	ADCYAP1R1		PAC1, PACAPR, PAC1R
HGNC:243	ADD1		
HGNC:244	ADD2		ADDB
HGNC:245	ADD3	ADDL	
HGNC:48682	ADD3-AS1		
HGNC:21212	ADGB	C6orf103	FLJ23121, dJ408K24.1, CAPN16
HGNC:13838	ADGRA1	GPR123	KIAA1828
HGNC:49543	ADGRA1-AS1	GPR123-AS1	
HGNC:17849	ADGRA2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
HGNC:13839	ADGRA3	GPR125	FLJ38547, PGR21
HGNC:943	ADGRB1	BAI1	
HGNC:944	ADGRB2	BAI2	
HGNC:945	ADGRB3	BAI3	KIAA0550
HGNC:19893	ADGRD1	GPR133	DKFZp434B1272, PGR25
HGNC:53314	ADGRD1-AS1		LACAT8
HGNC:18651	ADGRD2	GPR144	PGR24
HGNC:3336	ADGRE1	TM7LN3, EMR1	
HGNC:3337	ADGRE2	EMR2	CD312
HGNC:23647	ADGRE3	EMR3	
HGNC:19240	ADGRE4P	GPR127, EMR4, EMR4P	PGR16
HGNC:1711	ADGRE5	CD97	TM7LN1
HGNC:18990	ADGRF1	GPR110	hGPCR36, PGR19
HGNC:18991	ADGRF2	GPR111	hGPCR35, PGR20
HGNC:18989	ADGRF3	GPR113	hGPCR37, PGR23
HGNC:19011	ADGRF4	GPR115	FLJ38076, PGR18
HGNC:19030	ADGRF5	GPR116	DKFZp564O1923, KIAA0758
HGNC:40864	ADGRF5-AS1		
HGNC:32922	ADGRF5P1	GPR116P1	
HGNC:32921	ADGRF5P2	GPR116P2	
HGNC:4512	ADGRG1	GPR56	TM7LN4, TM7XN1
HGNC:4516	ADGRG2	GPR64	HE6, TM7LN2, EDDM6
HGNC:13728	ADGRG3	GPR97	Pb99, PGR26
HGNC:18992	ADGRG4	GPR112	RP1-299I16, PGR17
HGNC:19010	ADGRG5	GPR114	PGR27
HGNC:13841	ADGRG6	GPR126	FLJ14937
HGNC:19241	ADGRG7	GPR128	FLJ14454
HGNC:20973	ADGRL1	LPHN1	KIAA0821, CIRL1, LEC2
HGNC:18582	ADGRL2	LPHH1, LPHN2	KIAA0786, LEC1
HGNC:20974	ADGRL3	LPHN3	KIAA0768, LEC3
HGNC:50604	ADGRL3-AS1	LPHN3-AS1	
HGNC:20822	ADGRL4	ELTD1	ETL
HGNC:17416	ADGRV1	USH2C, MASS1, GPR98	DKFZp761P0710, KIAA0686, FEB4, VLGR1
HGNC:249	ADH1A	ADH1	
HGNC:250	ADH1B	ADH2	
HGNC:251	ADH1C	ADH3	
HGNC:252	ADH4		ADH-2
HGNC:253	ADH5	FDH	ADH-3, ADHX, GSNOR
HGNC:22976	ADH5P2		
HGNC:22991	ADH5P3		
HGNC:21377	ADH5P4	ADH5B	bA707M13.2
HGNC:54523	ADH5P5		
HGNC:255	ADH6		ADH-5
HGNC:256	ADH7		ADH-4
HGNC:16354	ADHFE1		FLJ32430
HGNC:30576	ADI1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD
HGNC:52339	ADI1P1		
HGNC:52340	ADI1P2		
HGNC:52341	ADI1P3		
HGNC:28606	ADIG		MGC39724, SMAF1, RP5-1100H13.2
HGNC:13633	ADIPOQ	ACDC	ACRP30, apM1, GBP28, adiponectin
HGNC:40648	ADIPOQ-AS1		
HGNC:24040	ADIPOR1		PAQR1, ACDCR1
HGNC:44910	ADIPOR1P1		
HGNC:44911	ADIPOR1P2		
HGNC:24041	ADIPOR2		PAQR2, ACDCR2
HGNC:24043	ADIRF	C10orf116	APM2, AFRO
HGNC:45127	ADIRF-AS1		
HGNC:257	ADK		AK
HGNC:259	ADM		AM
HGNC:28898	ADM2		AM2, FLJ21135
HGNC:27293	ADM5	C19orf76	AM5
HGNC:15766	ADNP		KIAA0784, ADNP1
HGNC:51227	ADNP-AS1		
HGNC:23803	ADNP2	ZNF508	KIAA0863
HGNC:23506	ADO	C10orf22	FLJ14547
HGNC:262	ADORA1		RDC7
HGNC:263	ADORA2A	ADORA2	RDC8
HGNC:37122	ADORA2A-AS1	C22orf45	FLJ34651
HGNC:264	ADORA2B		
HGNC:265	ADORA2BP1	ADORA2BP	
HGNC:268	ADORA3		AD026
HGNC:25250	ADPGK		DKFZp434B195, ADP-GK
HGNC:44144	ADPGK-AS1		
HGNC:269	ADPRH		ARH1
HGNC:21303	ADPRHL1		ARH2
HGNC:30925	ADPRM	C17orf48	MDS006
HGNC:21304	ADPRS	ADPRHL2	ARH3, FLJ20446
HGNC:277	ADRA1A	ADRA1C	ADRA1L1
